,id,predicted_class_,actual_class_,words_matched
496,496,technical,technical,"['featur', 'invest', 'depend', 'dev', 'corpor', 'flow', 'foundat', 'autom', 'cycl', 'tester', 'perspect', 'methodolog', 'achiev', 'workforc', 'advic', 'mobil', 'one', 'architectur', 'reason', 'lifecycl', 'bank', 'factori', 'api', 'enterpris', 'estim', 'assur', 'pattern']"
497,497,technical,technical,"['subcontractor', 'upgrad', 'hazard', 'rail', 'apprais', 'bus', 'establish', 'sprinkler', 'station', 'revis', 'radio', 'plumb', 'procur', 'one', 'potenti', 'interfac', 'liaison', 'draw', 'fire', 'charg', 'protect']"
498,498,technical,technical,"['sop', 'interpret', 'hazard', 'hear', 'wareh', 'proceed', 'pallet', 'logist', 'disclosur', 'dental', 'preserv', 'advic', 'one', 'damag', 'discrep', 'forklift', 'k', 'stock', 'updat', 'enterpris', 'storag', 'charg', 'complaint', 'modif', 'ship', 'warehous']"
499,499,technical,technical,"['motor', 'panel', 'hazard', 'switch', 'malfunct', 'replac', 'even', 'player', 'circuit', 'instrument', 'creed', 'weather', 'schemat', 'machineri', 'one', 'blueprint', 'damag', 'light', 'frequenc', 'desir', 'voltag', 'gear', 'major', 'ground', 'wire', 'conform', 'socket', 'ethic', 'fabric', 'applianc', 'troubleshoot']"
500,500,technical,technical,"['deliver', 'advantag', 'submiss', 'cycl', 'methodolog', 'sql', 'reput', 'pnc', 'tabl', 'web', 'segment', 'one', 'stage', 'architectur', 'solv', 'phase', 'interfac', 'cloud', 'paper', 'privaci', 'overview', 'api', 'entiti', 'enterpris', 'pride', 'emphasi', 'framework', 'maintain', 'troubleshoot']"
501,501,complex problem solving,complex problem solving,"['profit', 'hospic', 'advocaci', 'referr', 'height', 'pregnanc', 'faith', 'weight', 'one', 'outpati', 'belief', 'make', 'solv', 'interfac', 'psycholog', 'militari', 'genet', 'privileg', 'rehabilit', 'determin', 'factor']"
502,502,technical,technical,"['minut', 'return', 'featur', 'feet', 'landscap', 'car', 'distanc', 'clean', 'calcul', 'floor', 'home', 'stair', 'percentag', 'ownership', 'headquart', 'height', 'tech', 'apart', 'plumb', 'telephon', 'mobil', 'one', 'pool', 'ladder', 'desir', 'discount', 'wast', 'carpentri', 'excess', 'paint', 'label', 'ticket', 'remov', 'truck', 'appear', 'portfolio', 'complaint', 'estat', 'rotat', 'applianc', 'coupl', 'crawl']"
503,503,technical,complex problem solving,"['premis', 'chain', 'session', 'root', 'continu', 'philosophi', 'observ', 'staf', 'one', 'evid', 'ceo', 'infect', 'incid', 'retent', 'mechan', 'compli', 'command', 'peer', 'licensur', 'assur', 'modif', 'maintain', 'accredit']"
504,504,technical,technical,"['return', 'climat', 'interpret', 'deliver', 'advantag', 'amount', 'strength', 'desk', 'survey', 'navig', 'pto', 'pipelin', 'gas', 'theme', 'physic', 'weather', 'match', 'achiev', 'tabl', 'stand', 'mobil', 'one', 'heat', 'oil', 'desir', 'incid', 'crew', 'lift', 'land', 'incent', 'path', 'overtim', 'award', 'arrang', 'protect', 'commiss', 'pipe', 'diem', 'troubleshoot']"
505,505,technical,technical,"['premis', 'electron', 'thinker', 'window', 'start', 'align', 'volum', 'devop', 'display', 'player', 'night', 'server', 'disast', 'autom', 'recoveri', 'kpis', 'script', 'avail', 'barrier', 'web', 'mobil', 'one', 'light', 'log', 'vmware', 'solv', 'host', 'incid', 'cloud', 'enterpris', 'mindset', 'storag', 'semiconductor', 'rotat', 'reliabl']"
506,506,technical,complex problem solving,"['eye', 'stack', 'hazard', 'paperwork', 'cutter', 'deli', 'flow', 'suggest', 'pallet', 'floor', 'display', 'sanit', 'night', 'movement', 'date', 'sheet', 'schemat', 'answer', 'philosophi', 'weight', 'dexter', 'price', 'one', 'cut', 'ladder', 'print', 'log', 'glove', 'load', 'label', 'compli', 'stock', 'cleanli', 'truck', 'merchandis', 'quantiti', 'boy', 'lift', 'storag', 'complaint', 'temperatur', 'rotat', 'expens', 'sign', 'maintain', 'mathemat', 'sell']"
507,507,technical,complex problem solving,"['upgrad', 'depend', 'devop', 'transpar', 'accomplish', 'crisi', 'server', 'autom', 'cycl', 'ownership', 'discharg', 'version', 'releas', 'creed', 'physic', 'pregnanc', 'architect', 'simul', 'one', 'math', 'suitabl', 'lifecycl', 'updat', 'metric', 'jira', 'compil', 'determin', 'protect', 'workflow']"
508,508,technical,technical,"['investor', 'commerci', 'flow', 'supplier', 'floor', 'autom', 'substanc', 'perspect', 'oncolog', 'prescript', 'pilot', 'chemistri', 'scientist', 'one', 'stage', 'timelin', 'valid', 'anim', 'biolog', 'medicin', 'assay', 'portfolio', 'paramet', 'licensur', 'path', 'acquisit', 'vaccin', 'capit']"
509,509,technical,technical,"['featur', 'motor', 'climat', 'start', 'spend', 'floor', 'stair', 'membership', 'assembl', 'threat', 'climb', 'wage', 'guard', 'stand', 'walk', 'dexter', 'hat', 'machineri', 'pool', 'visa', 'one', 'ladder', 'discount', 'park', 'factori', 'twist', 'shoe', 'glove', 'wire', 'appear', 'tape', 'lift', 'ethic', 'overtim', 'rotat', 'applianc', 'warehous', 'extens', 'crawl']"
510,510,complex problem solving,complex problem solving,"['hazard', 'floor', 'notif', 'disclosur', 'mitig', 'disast', 'assembl', 'prevent', 'recoveri', 'research', 'oblig', 'session', 'practition', 'exercis', 'drill', 'faith', 'continu', 'mobil', 'outreach', 'one', 'damag', 'visitor', 'evid', 'audienc', 'phase', 'incid', 'chair', 'crime', 'checklist', 'major', 'protocol', 'heart', 'vulner', 'command', 'statist', 'women', 'fire', 'popul', 'protect', 'occup']"
511,511,technical,technical,"['motor', 'requisit', 'amount', 'pallet', 'establish', 'station', 'fume', 'date', 'box', 'one', 'style', 'heat', 'math', 'size', 'score', 'cleanli', 'conform', 'sensor', 'storag', 'distributor', 'warehous', 'encount']"
512,512,technical,technical,"['featur', 'motor', 'feet', 'requisit', 'clean', 'hear', 'dust', 'malfunct', 'pump', 'even', 'start', 'pallet', 'stair', 'manual', 'circuit', 'fume', 'calibr', 'instrument', 'weld', 'climb', 'weather', 'overhaul', 'hoist', 'adjust', 'observ', 'weight', 'precaut', 'price', 'machineri', 'one', 'blueprint', 'ladder', 'frequenc', 'mask', 'shoe', 'hair', 'heart', 'glove', 'crane', 'appear', 'outlook', 'lift', 'steam', 'temperatur', 'overtim', 'wear', 'face', 'pipe', 'troubleshoot']"
513,513,technical,technical,"['door', 'window', 'refriger', 'switch', 'spend', 'priorit', 'valv', 'start', 'floor', 'dispos', 'night', 'head', 'save', 'boiler', 'side', 'plumb', 'one', 'fixtur', 'style', 'heat', 'light', 'furnitur', 'frequenc', 'voltag', 'carpentri', 'roof', 'ground', 'paint', 'trust', 'snow', 'remov', 'vet', 'charg', 'storag', 'rotat', 'applianc', 'hvac', 'troubleshoot']"
514,514,technical,technical,"['fashion', 'address', 'apprais', 'supplier', 'recognit', 'submiss', 'releas', 'identifi', 'root', 'schemat', 'd', 'verif', 'one', 'creativ', 'mileston', 'iso', 'mentorship', 'audienc', 'phase', 'draw', 'prototyp', 'peer', 'awar', 'r', 'fabric']"
515,515,technical,technical,"['visa', 'enjoy', 'valid', 'length', 'aerospac', 'overtim', 'avion', 'stand', 'submitt', 'interfac', 'assur', 'cell', 'privaci', 'adapt', 'verif', 'sponsorship', 'stress', 'one']"
516,516,complex problem solving,technical,"['limit', 'judg', 'help', 'hear', 'specimen', 'flow', 'calcul', 'suggest', 'even', 'societi', 'dispos', 'night', 'error', 'instrument', 'creed', 'motion', 'reagent', 'telephon', 'verif', 'stress', 'one', 'designe', 'theori', 'messag', 'log', 'wast', 'technologist', 'doctor', 'checklist', 'twist', 'credenti', 'delay', 'absenc', 'stock', 'awar', 'finger', 'fax', 'overtim', 'diagnosi', 'assur']"
517,517,technical,technical,"['autocad', 'panel', 'trade', 'assembl', 'revis', 'instrument', 'box', 'sheet', 'wage', 'cabl', 'layout', 'format', 'one', 'bill', 'demonstr', 'draft', 'draw', 'wire', 'truck', 'popul', 'fabric', 'estim', 'confid', 'metal', 'workflow']"
518,518,technical,technical,"['centuri', 'electron', 'eye', 'surfac', 'distanc', 'hear', 'trade', 'textur', 'approx', 'revenu', 'attribut', 'assembl', 'move', 'calibr', 'instrument', 'radio', 'one', 'theori', 'meter', 'frequenc', 'skin', 'acuiti', 'factori', 'size', 'circumst', 'read', 'termin', 'finger', 'counter', 'temperatur', 'diagnost', 'fabric', 'usd', 'factor', 'troubleshoot']"
519,519,complex problem solving,complex problem solving,"['minut', 'intervent', 'chain', 'eye', 'listen', 'readi', 'advantag', 'verifi', 'round', 'priorit', 'even', 'start', 'fair', 'suggest', 'adult', 'notif', 'advocaci', 'digniti', 'sensit', 'accomplish', 'night', 'classif', 'desk', 'deleg', 'reaction', 'error', 'discharg', 'substanc', 'script', 'identifi', 'root', 'blood', 'chart', 'barrier', 'side', 'right', 'proof', 'answer', 'conflict', 'precaut', 'telephon', 'medic', 'stand', 'dexter', 'stress', 'outpati', 'one', 'visitor', 'inpati', 'light', 'guest', 'discuss', 'complex', 'thought', 'wast', 'acuiti', 'visit', 'ground', 'privaci', 'protocol', 'dress', 'compli', 'command', 'updat', 'score', 'appear', 'count', 'lift', 'pal', 'obstacl', 'women', 'licensur', 'charg', 'popul', 'finger', 'overtim', 'imag', 'sign', 'adapt', 'except']"
520,520,technical,technical,"['edit', 'requisit', 'hazard', 'hear', 'pump', 'corpor', 'fair', 'floor', 'stair', 'assembl', 'revis', 'instrument', 'pilot', 'chemistri', 'telephon', 'stress', 'format', 'one', 'visitor', 'iso', 'print', 'precis', 'interfac', 'acuiti', 'twist', 'paper', 'draw', 'trial', 'outlook', 'steam', 'fax', 'transact', 'temperatur', 'fabric', 'modif', 'maintain', 'purif', 'pipe', 'enhanc', 'troubleshoot']"
521,521,technical,technical,"['motor', 'upgrad', 'hazard', 'cooper', 'atmospher', 'pump', 'valv', 'replac', 'calcul', 'curv', 'cell', 'societi', 'bear', 'flow', 'section', 'ppe', 'cycl', 'box', 'root', 'avail', 'boiler', 'chart', 'renov', 'climb', 'right', 'overhaul', 'configur', 'verif', 'telephon', 'one', 'facilit', 'heat', 'oil', 'print', 'iso', 'gear', 'interfac', 'size', 'twist', 'draw', 'load', 'dress', 'updat', 'elev', 'overtim', 'equival', 'rout', 'modif', 'hvac', 'commiss', 'reliabl', 'pipe', 'troubleshoot', 'crawl']"
522,522,technical,technical,"['one', 'meter', 'save', 'upgrad', 'complaint', 'gap', 'conclus', 'tissu', 'window', 'assur', 'gaug', 'trial', 'variabl', 'crew']"
523,523,technical,technical,"['profit', 'inspector', 'surfac', 'trade', 'cell', 'internet', 'ppe', 'disast', 'recoveri', 'perspect', 'movement', 'workforc', 'plumb', 'one', 'ladder', 'coursework', 'compass', 'roof', 'region', 'owner', 'twist', 'sustain', 'read', 'tape', 'fire', 'equival', 'find', 'assur', 'rout', 'crawl']"
524,524,technical,technical,"['limit', 'dot', 'danger', 'trainer', 'dispos', 'player', 'prevent', 'substanc', 'fleet', 'radiat', 'conflict', 'precaut', 'procur', 'price', 'one', 'mileag', 'negoti', 'print', 'accid', 'truck', 'appear', 'expenditur', 'ethic', 'overtim', 'fabric', 'assur', 'sign', 'sell']"
525,525,technical,technical,"['eye', 'influenc', 'corpor', 'sector', 'mine', 'stair', 'alcohol', 'motiv', 'autom', 'optic', 'instrument', 'climb', 'side', 'adjust', 'stress', 'walk', 'robot', 'hat', 'one', 'timelin', 'negoti', 'ladder', 'discuss', 'reason', 'accid', 'shoe', 'beverag', 'steel', 'portfolio', 'fire', 'except', 'overtim', 'wear', 'commiss', 'pharmaceut', 'parent', 'aptitud', 'crawl']"
526,526,technical,technical,"['motor', 'car', 'acquisit', 'switch', 'replac', 'alarm', 'display', 'autom', 'assembl', 'output', 'gap', 'schemat', 'drill', 'workforc', 'telephon', 'machineri', 'one', 'frequenc', 'voltag', 'k', 'mechan', 'wire', 'sensor', 'applianc', 'commiss', 'pharmaceut', 'auto', 'troubleshoot']"
527,527,complex problem solving,complex problem solving,"['minut', 'scrub', 'specimen', 'rail', 'adult', 'dispos', 'workload', 'prevent', 'identifi', 'instrument', 'tech', 'side', 'tabl', 'discret', 'answer', 'telephon', 'medic', 'robot', 'one', 'messag', 'light', 'wast', 'surgeri', 'skin', 'glove', 'peer', 'count', 'obtain', 'surgeon', 'plastic', 'card']"
528,528,technical,technical,"['chain', 'retail', 'forecast', 'priorit', 'logist', 'fact', 'programm', 'web', 'one', 'produc', 'mileston', 'solv', 'phase', 'interfac', 'analyst', 'heart', 'definit', 'rotat', 'distributor', 'find', 'diagram', 'troubleshoot', 'workflow']"
529,529,technical,technical,"['limit', 'inspector', 'deliver', 'sector', 'logist', 'chanc', 'architect', 'solicit', 'bid', 'one', 'facilit', 'architectur', 'phase', 'liaison', 'owner', 'draw', 'entiti', 'obtain', 'news', 'estim', 'determin', 'maintain']"
530,530,technical,complex problem solving,"['electron', 'hazard', 'mine', 'defens', 'classif', 'navig', 'chanc', 'survey', 'tech', 'instrument', 'reput', 'physicist', 'd', 'scientist', 'simul', 'verif', 'robot', 'one', 'detect', 'valid', 'architectur', 'phase', 'interfac', 'analyt', 'correspond', 'cloud', 'prototyp', 'socket', 'r', 'sensor', 'imag', 'mathemat', 'aptitud']"
531,531,technical,technical,"['sop', 'assembl', 'oncolog', 'valid', 'iso', 'anim', 'popul', 'player', 'guid', 'establish', 'notif', 'label', 'submiss', 'one']"
532,532,technical,technical,"['landscap', 'advantag', 'clean', 'depend', 'refriger', 'alcohol', 'abus', 'comfort', 'threat', 'schemat', 'staf', 'one', 'heat', 'bill', 'log', 'frequenc', 'reason', 'payrol', 'wast', 'park', 'protocol', 'licensur', 'applianc', 'hvac']"
533,533,complex problem solving,complex problem solving,"['adult', 'princip', 'sampl', 'motiv', 'deleg', 'substanc', 'referr', 'mentor', 'satellit', 'adjust', 'philosophi', 'medic', 'triag', 'staf', 'one', 'independ', 'medicin', 'infect', 'protocol', 'incom', 'licensur', 'popul', 'storag', 'complaint', 'imag', 'starter', 'commiss', 'vaccin', 'lpn']"
534,534,technical,technical,"['centuri', 'help', 'circuit', 'cycl', 'perspect', 'box', 'learner', 'schemat', 'pregnanc', 'teammat', 'simul', 'verif', 'layout', 'one', 'architectur', 'solv', 'draw', 'speed', 'prototyp', 'updat', 'fee', 'sensor', 'emphasi', 'temperatur', 'fabric', 'acquisit', 'troubleshoot']"
535,535,technical,technical,"['return', 'reserv', 'profit', 'car', 'trade', 'apprais', 'advisor', 'floor', 'volum', 'display', 'deleg', 'prevent', 'share', 'game', 'proof', 'one', 'fixtur', 'ladder', 'guest', 'discuss', 'discrep', 'size', 'loss', 'absenc', 'stock', 'merchandis', 'count', 'emphasi', 'transact']"
536,536,technical,technical,"['cash', 'landscap', 'deliver', 'window', 'cell', 'autom', 'pipelin', 'tester', 'ownership', 'match', 'web', 'one', 'financ', 'discount', 'k', 'liaison', 'analyst', 'cloud', 'sponsorship', 'api', 'portfolio', 'enterpris', 'path', 'assur', 'framework', 'capit']"
537,537,technical,technical,"['profil', 'listen', 'ill', 'alarm', 'notif', 'alcohol', 'channel', 'well', 'union', 'circuit', 'logic', 'gas', 'threat', 'station', 'discharg', 'tech', 'airport', 'save', 'inclus', 'radio', 'intellig', 'telephon', 'stand', 'one', 'oil', 'log', 'length', 'bank', 'discount', 'incid', 'k', 'factori', 'accid', 'doctor', 'protocol', 'updat', 'dispatch', 'awar', 'enforc', 'conclus', 'temperatur', 'introduct', 'link', 'perk', 'warehous', 'premium']"
538,538,technical,technical,"['sop', 'optim', 'stabil', 'advantag', 'amount', 'verifi', 'address', 'biochemistri', 'cell', 'transpar', 'disclosur', 'character', 'recoveri', 'payment', 'instrument', 'verif', 'one', 'pool', 'discuss', 'biolog', 'bank', 'immigr', 'protein', 'assay', 'infus', 'microbiolog', 'powerpoint', 'genet', 'conclus', 'formul', 'spreadsheet', 'introduct', 'expens', 'purif', 'acquisit', 'vaccin']"
539,539,technical,technical,"['strength', 'subsidiari', 'version', 'airlin', 'instrument', 'methodolog', 'export', 'weather', 'aviat', 'satellit', 'one', 'launch', 'aerospac', 'architectur', 'lifecycl', 'phase', 'interfac', 'ground', 'vulner', 'powerpoint', 'award', 'missil', 'assur', 'acquisit']"
540,540,complex problem solving,complex problem solving,"['metric', 'oncolog', 'one', 'enterpris', 'women', 'connect', 'physic', 'affili', 'imag', 'radiat', 'technologist', 'replac', 'rotat', 'physicist', 'privaci', 'accredit', 'overview', 'payer']"
541,541,technical,technical,"['financ', 'broker', 'edg', 'count', 'one', 'varianc', 'make', 'path', 'upgrad', 'ceo', 'export', 'bank', 'emphasi', 'workforc', 'distributor', 'k', 'correspond', 'tax', 'cycl']"
542,542,technical,technical,"['motor', 'panel', 'electron', 'deliver', 'calcul', 'flow', 'conduit', 'mentor', 'cabl', 'layout', 'articl', 'staf', 'one', 'light', 'subordin', 'connect', 'voltag', 'size', 'draft', 'ground', 'draw', 'constraint', 'wire', 'semiconductor', 'bim', 'estim', 'protect', 'diagram', 'branch']"
543,543,technical,technical,"['electron', 'supplier', 'volum', 'display', 'player', 'releas', 'tech', 'barrier', 'motion', 'procur', 'robot', 'layout', 'mobil', 'one', 'heat', 'light', 'complex', 'mechan', 'draw', 'prototyp', 'definit', 'storag', 'semiconductor', 'capit', 'deposit']"
544,544,technical,technical,"['clean', 'inquiri', 'trade', 'stair', 'percentag', 'injuri', 'apprenticeship', 'error', 'move', 'chart', 'tabl', 'plumb', 'observ', 'stand', 'one', 'key', 'heat', 'fixtur', 'ladder', 'furnitur', 'carpentri', 'chair', 'roof', 'correspond', 'ground', 'incid', 'accid', 'paint', 'load', 'snow', 'compli', 'remov', 'appear', 'complaint', 'kitchen', 'modif', 'troubleshoot']"
545,545,technical,technical,"['optim', 'chain', 'stack', 'invest', 'help', 'depend', 'stream', 'wareh', 'flow', 'adjust', 'telephon', 'configur', 'outreach', 'one', 'produc', 'audienc', 'architectur', 'connect', 'bank', 'lifecycl', 'analyt', 'interfac', 'cloud', 'constraint', 'credenti', 'command', 'ticket', 'enterpris', 'storag', 'warehous', 'pattern']"
546,546,technical,technical,"['deploy', 'stack', 'invest', 'influenc', 'sector', 'alcohol', 'classif', 'altern', 'autom', 'cycl', 'methodolog', 'presid', 'pregnanc', 'discret', 'proof', 'architect', 'robot', 'mobil', 'one', 'presenc', 'architectur', 'ceo', 'thought', 'solv', 'immigr', 'vice', 'cloud', 'speed', 'api', 'sponsorship', 'app', 'enterpris', 'framework', 'factor', 'transform']"
547,547,technical,technical,"['eye', 'hear', 'paperwork', 'priorit', 'supplier', 'nonconform', 'volum', 'sampl', 'press', 'cycl', 'telephon', 'dexter', 'machineri', 'one', 'iso', 'light', 'forklift', 'setup', 'precis', 'interfac', 'sponsorship', 'trial', 'paramet', 'overtim', 'plastic', 'infant', 'metal', 'capit', 'card']"
548,548,technical,technical,"['motor', 'prospect', 'establish', 'classif', 'box', 'wage', 'creed', 'hoist', 'machineri', 'one', 'belief', 'mileag', 'forklift', 'mechan', 'owner', 'uniform', 'truck', 'incent', 'overtim', 'spreadsheet', 'diagnost', 'diesel']"
549,549,technical,technical,"['advantag', 'inquiri', 'replac', 'strength', 'desk', 'stair', 'percentag', 'error', 'move', 'pregnanc', 'tier', 'teammat', 'intellig', 'stand', 'one', 'key', 'belief', 'ladder', 'furnitur', 'housekeep', 'correspond', 'load', 'compli', 'appear', 'enterpris', 'women', 'storag', 'path', 'complaint', 'estat', 'expens', 'occup']"
550,550,technical,technical,"['interpret', 'semest', 'deposit', 'apprais', 'questionnair', 'defens', 'societi', 'percentag', 'classif', 'brief', 'membership', 'logic', 'error', 'station', 'move', 'version', 'payment', 'date', 'marriag', 'achiev', 'seri', 'proof', 'scientist', 'format', 'one', 'corp', 'mileston', 'target', 'potenti', 'curriculum', 'excess', 'analyst', 'checklist', 'credenti', 'trial', 'statist', 'definit', 'incent', 'charg', 'award', 'qualifi', 'estat', 'link', 'spous', 'assur', 'determin', 'accredit', 'mathemat', 'except']"
551,551,technical,technical,"['stack', 'foundat', 'server', 'share', 'root', 'configur', 'medic', 'one', 'clinician', 'discuss', 'architectur', 'compass', 'analyt', 'updat', 'ehr', 'awar', 'enterpris', 'radiolog', 'imag', 'troubleshoot', 'workflow']"
552,552,complex problem solving,technical,"['profit', 'diagnos', 'ill', 'diseas', 'pharmacist', 'replac', 'recognit', 'night', 'trauma', 'adolesc', 'recoveri', 'proof', 'stand', 'medic', 'verif', 'immun', 'one', 'length', 'bed', 'infect', 'surgeri', 'therapist', 'region', 'kid', 'vet', 'licensur', 'popul', 'award', 'therapi', 'rehabilit', 'infant']"
553,553,technical,technical,"['turbin', 'stabil', 'upgrad', 'pump', 'calcul', 'home', 'logic', 'cycl', 'instrument', 'map', 'boiler', 'electr', 'philosophi', 'econom', 'one', 'heat', 'wast', 'phase', 'visit', 'statist', 'powerpoint', 'tune', 'steam', 'poster', 'commiss', 'metal', 'troubleshoot']"
554,554,technical,technical,"['transmiss', 'p', 'clean', 'pump', 'valv', 'fuel', 'weather', 'chief', 'drill', 'machineri', 'one', 'oil', 'light', 'log', 'connect', 'setup', 'traffic', 'increas', 'truck', 'crew', 'termin', 'fire', 'm', 'overtim', 'sign', 'pipe', 'fluid', 'wastewat']"
555,555,complex problem solving,complex problem solving,"['door', 'feet', 'distanc', 'diseas', 'clean', 'stoop', 'hear', 'start', 'fair', 'prevent', 'movement', 'climb', 'weather', 'apart', 'telephon', 'staf', 'one', 'pool', 'creativ', 'frequenc', 'discount', 'precis', 'excess', 'park', 'acuiti', 'region', 'ground', 'glove', 'snow', 'compli', 'stock', 'cleanli', 'appear', 'lift', 'harass', 'fax', 'lot', 'finger', 'overtim', 'temperatur', 'equival', 'commiss']"
556,556,technical,technical,"['transmiss', 'indic', 'readi', 'surfac', 'requisit', 'inquiri', 'malfunct', 'replac', 'airfram', 'start', 'cell', 'aircraft', 'manual', 'display', 'fuel', 'workload', 'camp', 'assembl', 'brake', 'preserv', 'move', 'station', 'wrench', 'exercis', 'sheet', 'cabl', 'proof', 'aviat', 'flight', 'dexter', 'one', 'blueprint', 'heat', 'ladder', 'log', 'complex', 'avion', 'housekeep', 'gear', 'mechan', 'liaison', 'paint', 'land', 'fire', 'storag', 'open', 'overtim', 'diagnosi', 'modif', 'maintain', 'metal', 'wing', 'troubleshoot', 'card']"
557,557,technical,technical,"['deploy', 'deliver', 'align', 'well', 'gap', 'segment', 'one', 'stage', 'launch', 'timelin', 'connect', 'lifecycl', 'lesson', 'interfac', 'stock', 'reward', 'enterpris', 'sensor', 'path', 'estim', 'assur', 'protect', 'capit']"
558,558,technical,technical,"['motor', 'transmiss', 'electron', 'distanc', 'stoop', 'trade', 'spend', 'malfunct', 'bear', 'percentag', 'altern', 'fuel', 'pto', 'assembl', 'brake', 'gas', 'fume', 'tractor', 'steer', 'box', 'weld', 'fleet', 'identifi', 'instrument', 'chart', 'mentor', 'climb', 'weather', 'seri', 'hoist', 'guard', 'hat', 'one', 'heat', 'vest', 'solv', 'gear', 'k', 'factori', 'mechan', 'gaug', 'carri', 'ground', 'glove', 'truck', 'conform', 'encount', 'appear', 'lift', 'starter', 'diagnosi', 'percept', 'protect', 'diesel', 'troubleshoot']"
559,559,technical,technical,"['featur', 'edit', 'thinker', 'stabil', 'forecast', 'hear', 'verifi', 'corpor', 'proceed', 'percentag', 'disclosur', 'ownership', 'instrument', 'd', 'verif', 'robot', 'one', 'fixtur', 'timelin', 'valid', 'architectur', 'setup', 'precis', 'protocol', 'updat', 'peer', 'r', 'charg', 'complaint', 'reliabl', 'workflow', 'aptitud']"
560,560,technical,technical,"['convers', 'requisit', 'help', 'hazard', 'dust', 'player', 'injuri', 'autom', 'comfort', 'climb', 'mobil', 'one', 'visa', 'damag', 'oil', 'affili', 'incid', 'accid', 'shoe', 'twist', 'sponsorship', 'involv', 'peer', 'harass', 'compil']"
561,561,complex problem solving,complex problem solving,"['attorney', 'violenc', 'danger', 'help', 'hear', 'start', 'calcul', 'discoveri', 'fair', 'internet', 'sampl', 'pto', 'courtroom', 'headquart', 'match', 'motion', 'child', 'stand', 'format', 'one', 'belief', 'court', 'charact', 'precis', 'visit', 'chair', 'correspond', 'ground', 'cloud', 'shoe', 'trial', 'overview', 'fee', 'pride', 'moment', 'perk', 'deposit', 'premium']"
562,562,technical,technical,"['return', 'trade', 'wareh', 'receipt', 'survey', 'assembl', 'identifi', 'substitut', 'one', 'stage', 'damag', 'valid', 'discrep', 'forklift', 'load', 'increas', 'stock', 'truck', 'quantiti', 'count', 'storag', 'protect', 'ship', 'warehous', 'reconcili']"
563,563,technical,technical,"['turbin', 'surfac', 'valv', 'aircraft', 'propuls', 'pipelin', 'permit', 'tech', 'instrument', 'boiler', 'mate', 'pregnanc', 'teammat', 'chemistri', 'one', 'region', 'steam', 'equival', 'ship', 'pipe', 'diagram', 'reactor', 'branch', 'aptitud']"
564,564,technical,technical,"['dot', 'paperwork', 'even', 'warn', 'carrier', 'survey', 'cargo', 'radio', 'one', 'messag', 'offici', 'setup', 'traffic', 'size', 'load', 'read', 'truck', 'crew', 'rotat', 'sign', 'branch']"
565,565,technical,technical,"['dollar', 'bridg', 'court', 'theori', 'one', 'requisit', 'traffic', 'cooper', 'consist', 'phase', 'violat', 'usd', 'counti', 'region', 'volum', 'speed', 'articl', 'conform']"
566,566,technical,technical,"['refriger', 'cooper', 'round', 'start', 'even', 'floor', 'slope', 'attribut', 'dispos', 'sanit', 'speech', 'share', 'tabl', 'one', 'restaur', 'accid', 'twist', 'load', 'truck', 'steam', 'storag', 'season', 'kitchen', 'applianc', 'card']"
567,567,complex problem solving,complex problem solving,"['attorney', 'bargain', 'hear', 'discoveri', 'strength', 'counti', 'bar', 'volum', 'advoc', 'guardian', 'advocaci', 'session', 'admiss', 'match', 'litig', 'motion', 'represent', 'outreach', 'one', 'court', 'negoti', 'precis', 'trial', 'incom', 'updat', 'powerpoint', 'caseload']"
568,568,technical,technical,"['refriger', 'trade', 'malfunct', 'spend', 'cell', 'retrofit', 'pto', 'ownership', 'gas', 'wage', 'boiler', 'schemat', 'match', 'plumb', 'radio', 'one', 'blueprint', 'heat', 'theori', 'voltag', 'accid', 'owner', 'wire', 'stock', 'reward', 'dispatch', 'yrs', 'hvac', 'pipe', 'diagram', 'electr']"
569,569,technical,technical,"['chain', 'distanc', 'stoop', 'hear', 'clean', 'dust', 'address', 'receipt', 'injuri', 'ppe', 'fuel', 'deleg', 'gas', 'fume', 'patch', 'fleet', 'tire', 'machineri', 'one', 'oil', 'detect', 'restaur', 'size', 'accid', 'uniform', 'glove', 'truck', 'urgenc', 'ethic', 'temperatur', 'season', 'percept', 'meal', 'face', 'crawl']"
570,570,technical,technical,"['convers', 'transmiss', 'hazard', 'replac', 'align', 'manual', 'bear', 'sampl', 'weld', 'creed', 'one', 'machineri', 'heat', 'oil', 'math', 'visitor', 'mechan', 'ground', 'militari', 'fabric', 'pipe']"
571,571,technical,technical,"['motor', 'panel', 'amount', 'storm', 'pump', 'replac', 'desk', 'manual', 'submiss', 'fact', 'station', 'fume', 'identifi', 'patch', 'weather', 'weight', 'bid', 'variabl', 'one', 'superintend', 'blueprint', 'oil', 'absenc', 'cleanli', 'lift', 'conclus', 'percept', 'fluid', 'diagram', 'mathemat']"
572,572,technical,technical,"['suggest', 'player', 'dispos', 'antibodi', 'instrument', 'avail', 'plumb', 'adjust', 'machineri', 'pharmaceut', 'one', 'style', 'expans', 'wast', 'ground', 'draw', 'loss', 'appear', 'mindset', 'path', 'hvac', 'reliabl', 'troubleshoot']"
